Hong Kong,香港特别行政区
Shangzhi,尚志市
Shuangyashan,双鸭山市
Suifenhe,绥芬河市
Suihua,绥化市
Tieli,铁力市
Tongjiang,同江市
Wuchang,五常市
Wudalianchi,五大连池市
Yichun,伊春市
Zhaodong,肇东市
Anyang,安阳市
Changge,长葛市
Dengfeng,登封市
Dengzhou,邓州市
Gongyi,巩义市
Hebi,鹤壁市
Huixian,辉县市
Jiaozuo,焦作市
Jiyuan,济源市
Kaifeng,开封市
Lingbao,灵宝市
Linzhou,林州市
Luohe,漯河市
Luoyang,洛阳市
Mengzhou,孟州市
Nanyang,南阳市
Pingdingshan,平顶山市
Puyang,濮阳市
Qinyang,沁阳市
Ruzhou,汝州市
Sanmenxia,三门峡市
Shangqiu,商丘市
Weihui,卫辉市
Wugang,舞钢市
Xiangcheng,项城市
Xingyang,荥阳市
Xinmi,新密市
Xinxiang,新乡市
Xinyang,信阳市
Xinzheng,新郑市
Xuchang,许昌市
Yanshi,偃师市
Yima,义马市
Yongcheng,永城市
Yuzhou,禹州市
Zhengzhou,郑州市
Zhoukou,周口市
Zhumadian,驻马店市
Anlu,安陆市
Chibi,赤壁市
Dangyang,当阳市
Danjiangkou,丹江口市
Daye,大冶市
Enshi,恩施市
Ezhou,鄂州市
Guangshui,广水市
Hanchuan,汉川市
Honghu,洪湖市
Huanggang,黄冈市
Huangshi,黄石市
Jingmen,荆门市
Jingzhou,荆州市
Laohekou,老河口市
Lichuan,利川市
Macheng,麻城市
Qianjiang,潜江市
Shishou,石首市
Shiyan,十堰市
Suizhou,随州市
Songzi,松滋市
Tianmen,天门市
Wuhan,武汉市
Wuxue,武穴市
Xiangyang,襄阳市
Xianning,咸宁市
Xiantao,仙桃市
Xiaogan,孝感市
Yichang,宜昌市
Yicheng,宜城市
Yidu,宜都市
Yingcheng,应城市
Zaoyang,枣阳市
Zhijiang,枝江市
Zhongxiang,钟祥市
Changde,常德市
Changning,常宁市
Changsha,长沙市
Chenzhou,郴州市
Hengyang,衡阳市
Hongjiang,洪江市
Huaihua,怀化市
Jinshi,津市
Jishou,吉首市
Leiyang,耒阳市
Lengshuijiang,冷水江市
Lianyuan,涟源市
Liling,醴陵市
Linxiang,临湘市
Liuyang,浏阳市
Loudi,娄底市
Miluo,汨罗市
Ningxiang,宁乡市
Shaoshan,韶山市
Shaoyang,邵阳市
Wugang,武冈市
Xiangtan,湘潭市
Xiangxiang,湘乡市
Yiyang,益阳市
Yongzhou,永州市
Yuanjiang,沅江市
Yueyang,岳阳市
Zhangjiajie,张家界市
Zhuzhou,株洲市
Zixing,资兴市
Arxan,阿尔山市
Baotou,包头市
Bayannur,巴彦淖尔市
Chifeng,赤峰市
Erenhot,二连浩特市
Ergun,额尔古纳市
Fengzhen,丰镇市
Genhe,根河市
Hohhot,呼和浩特市
Holingol,霍林郭勒市
Hulunbuir,呼伦贝尔市
Manzhouli,满洲里市
Ordos,鄂尔多斯市
Tongliao,通辽市
Ulanhot,乌兰浩特市
Ulanqab,乌兰察布市
Wuhai,乌海市
Xilinhot,锡林浩特市
Yakeshi,牙克石市
Zhalantun,扎兰屯市
Changshu,常熟市
Changzhou,常州市
Danyang,丹阳市
Dongtai,东台市
Gaoyou,高邮市
Haimen,海门市
Huai'an,淮安市
Jiangyin,江阴市
Jingjiang,靖江市
Jurong,句容市
Liyang,溧阳市
Lianyungang,连云港市
Kunshan,昆山市
Nanjing,南京市
Nantong,南通市
Pizhou,邳州市
Qidong,启东市
Rugao,如皋市
Suqian,宿迁市
Suzhou,苏州市
Taicang,太仓市
Taixing,泰兴市
Taizhou,泰州市
Wuxi,无锡市
Xinghua,兴化市
Xinyi,新沂市
Xuzhou,徐州市
Yancheng,盐城市
Yangzhong,扬中市
Yangzhou,扬州市
Yixing,宜兴市
Yizheng,仪征市
Zhangjiagang,张家港市
Zhenjiang,镇江市
Dexing,德兴市
Fengcheng,丰城市
Fuzhou,抚州市
Ganzhou,赣州市
Gao'an,高安市
Gongqingcheng,共青城市
Guixi,贵溪市
Ji'an,吉安市
Jingdezhen,景德镇市
Jinggangshan,井冈山市
Jiujiang,九江市
Leping,乐平市
Lushan,庐山市
Nanchang,南昌市
Pingxiang,萍乡市
Ruichang,瑞昌市
Ruijin,瑞金市
Shangrao,上饶市
Xinyu,新余市
Yichun,宜春市
Yingtan,鹰潭市
Zhangshu,樟树市
Baicheng,白城市
Baishan,白山市
Changchun,长春市
Da'an,大安市
Dehui,德惠市
Dunhua,敦化市
Fuyu,扶余市
Gongzhuling,公主岭市
Helong,和龙市
Huadian,桦甸市
Hunchun,珲春市
Ji'an,集安市
Jiaohe,蛟河市
Jilin,吉林市
Liaoyuan,辽源市
Linjiang,临江市
Longjing,龙井市
Meihekou,梅河口市
Panshi,磐石市
Shuangliao,双辽市
Shulan,舒兰市
Siping,四平市
Songyuan,松原市
Taonan,洮南市
Tonghua,通化市
Tumen,图们市
Yanji,延吉市
Yushu,榆树市
Anshan,鞍山市
Benxi,本溪市
Beipiao,北票市
Beizhen,北镇市
Chaoyang,朝阳市
Dalian,大连市
Dandong,丹东市
Dashiqiao,大石桥市
Dengta,灯塔市
Diaobingshan,调兵山市
Donggang,东港市
Fengcheng,凤城市
Fushun,抚顺市
Fuxin,阜新市
Gaizhou,盖州市
Haicheng,海城市
Huludao,葫芦岛市
Jinzhou,锦州市
Kaiyuan,开原市
Liaoyang,辽阳市
Linghai,凌海市
Lingyuan,凌源市
Panjin,盘锦市
Shenyang,沈阳市
Tieling,铁岭市
Wafangdian,瓦房店市
Xingcheng,兴城市
Xinmin,新民市
Yingkou,营口市
Zhuanghe,庄河市
Guyuan,固原市
Lingwu,灵武市
Qingtongxia,青铜峡市
Shizuishan,石嘴山市
Wuzhong,吴忠市
Yinchuan,银川市
Zhongwei,中卫市
Delingha,德令哈市
Golmud,格尔木市
Haidong,海东市
Xining,西宁市
Yushu,玉树市
Ankang,安康市
Baoji,宝鸡市
Hancheng,韩城市
Hanzhong,汉中市
Huayin,华阴市
Shangluo,商洛市
Shenmu,神木市
Tongchuan,铜川市
Weinan,渭南市
Xi'an,西安市
Xianyang,咸阳市
Xingping,兴平市
Yan'an,延安市
Yulin,榆林市
Anqiu,安丘市
Binzhou,滨州市
Changyi,昌邑市
Dezhou,德州市
Dongying,东营市
Feicheng,肥城市
Gaomi,高密市
Haiyang,海阳市
Heze,菏泽市
Jiaozhou,胶州市
Jinan,济南市
Jining,济宁市
Laiwu,莱芜市
Laixi,莱西市
Laiyang,莱阳市
Laizhou,莱州市
Leling,乐陵市
Liaocheng,聊城市
Linqing,临清市
Linyi,临沂市
Longkou,龙口市
Penglai,蓬莱市
Pingdu,平度市
Qingdao,青岛市
Qingzhou,青州市
Qixia,栖霞市
Qufu,曲阜市
Rizhao,日照市
Rongcheng,荣成市
Rushan,乳山市
Shouguang,寿光市
Tai'an,泰安市
Tengzhou,滕州市
Weifang,潍坊市
Weihai,威海市
Xintai,新泰市
Yantai,烟台市
Yucheng,禹城市
Zaozhuang,枣庄市
Zhaoyuan,招远市
Zhucheng,诸城市
Zibo,淄博市
Zoucheng,邹城市
Changzhi,长治市
Datong,大同市
Fenyang,汾阳市
Gaoping,高平市
Gujiao,古交市
Hejin,河津市
Houma,侯马市
Huozhou,霍州市
Jiexiu,介休市
Jincheng,晋城市
Jinzhong,晋中市
Linfen,临汾市
Lucheng,潞城市
Lüliang,吕梁市
Shuozhou,朔州市
Taiyuan,太原市
Xiaoyi,孝义市
Xinzhou,忻州市
Yangquan,阳泉市
Yongji,永济市
Yuncheng,运城市
Yuanping,原平市
Barkam,马尔康市
Bazhong,巴中市
Chengdu,成都市
Chongzhou,崇州市
Dazhou,达州市
Deyang,德阳市
Dujiangyan,都江堰市
Emeishan,峨眉山市
Guang'an,广安市
Guanghan,广汉市
Guangyuan,广元市
Huaying,华蓥市
Jiangyou,江油市
Jianyang,简阳市
Kangding,康定市
Langzhong,阆中市
Leshan,乐山市
Longchang,隆昌市
Luzhou,泸州市
Mianzhu,绵竹市
Meishan,眉山市
Mianyang,绵阳市
Nanchong,南充市
Neijiang,内江市
Panzhihua,攀枝花市
Pengzhou,彭州市
Qionglai,邛崃市
Shifang,什邡市
Suining,遂宁市
Wanyuan,万源市
Xichang,西昌市
Ya'an,雅安市
Yibin,宜宾市
Zigong,自贡市
Ziyang,资阳市
Lhasa,拉萨市
Nagqu,那曲市
Nyingchi,林芝市
Qamdo,昌都市
Shannan,山南市
Xigazê,日喀则市
Aksu,阿克苏市
Alashankou,阿拉山口市
Altay,阿勒泰市
Aral,阿拉尔市
Artux,阿图什市
Beitun,北屯市
Bole,博乐市
Changji,昌吉市
Fukang,阜康市
Hami,哈密市
Hotan,和田市
Karamay,克拉玛依市
Kashgar,喀什市
Khorgas,霍尔果斯市
Kokdala,可克达拉市
Korla,库尔勒市
Kuytun,奎屯市
Kunyu,昆玉市
Shihezi,石河子市
Shuanghe,双河市
Tacheng,塔城市
Tiemenguan,铁门关市
Tumxuk,图木舒克市
Turpan,吐鲁番市
Ürümqi,乌鲁木齐市
Wujiaqu,五家渠市
Wusu,乌苏市
Yining,伊宁市
Anning,安宁市
Baoshan,保山市
Chuxiong,楚雄市
Dali,大理市
Gejiu,个旧市
Jinghong,景洪市
Kaiyuan,开远市
Kunming,昆明市
Lincang,临沧市
Lijiang,丽江市
Lushui,泸水市
Mang,芒市
Mengzi,蒙自市
Mile,弥勒市
Pu'er,普洱市
Qujing,曲靖市
Ruili,瑞丽市
Shangri-La,香格里拉市
Tengchong,腾冲市
Wenshan,文山市
Xuanwei,宣威市
Yuxi,玉溪市
Zhaotong,昭通市
Cixi,慈溪市
Dongyang,东阳市
Haining,海宁市
Hangzhou,杭州市
Huzhou,湖州市
Jiande,建德市
Jiangshan,江山市
Jiaxing,嘉兴市
Jinhua,金华市
Lanxi,兰溪市
Linhai,临海市
Lishui,丽水市
Longquan,龙泉市
Ningbo,宁波市
Pinghu,平湖市
Quzhou,衢州市
Ruian,瑞安市
Shaoxing,绍兴市
Shengzhou,嵊州市
Taizhou,台州市
Tongxiang,桐乡市
Wenling,温岭市
Wenzhou,温州市
Yiwu,义乌市
Yongkang,永康市
Yueqing,乐清市
Yuhuan,玉环市
Yuyao,余姚市
Zhoushan,舟山市
Zhuji,诸暨市
