生命周期,商品,单位,数量,计量单位,报价金额,占总金额,成本金额,占总成本,销售毛利,占总毛利,毛利率,成本利润率,实际利润,实际利润率,主要供应商
,销售折让,家乐福-成都羊西店,1,,-214.55,0.00%,,,-214.55,0.00%,100.00%,,-183.38,85.50%,
,销售折让,家乐福-成都府青路店,1,,-548.4,0.00%,,,-548.4,0.00%,100.00%,,-468.72,85.50%,
,销售折让,家乐福-成都温江店,1,,-383.72,0.00%,,,-383.72,0.00%,100.00%,,-327.97,85.50%,
,销售折让,家乐福-成都大邑店,1,,-632.24,0.00%,,,-632.24,0.00%,100.00%,,-540.38,85.50%,
,销售折让,家乐福-成都华阳店,1,,-716.48,0.00%,,,-716.48,0.00%,100.00%,,-612.38,85.50%,
,销售折让,家乐福-成都新都店,1,,-684.58,0.00%,,,-684.58,0.00%,100.00%,,-585.11,85.50%,
,销售折让,家乐福-成都青白江同华店,1,,-385.03,0.00%,,,-385.03,0.00%,100.00%,,-329.09,85.50%,
,销售折让,家乐福-南充文化路店,2,,-729.8,0.00%,,,-729.8,0.00%,100.00%,,-623.76,85.50%,
,销售折让,家乐福-资阳建设路店,1,,-399.85,0.00%,,,-399.85,0.00%,100.00%,,-341.75,85.50%,
,销售折让,家乐福-武汉十升店,1,,-969.1,0.00%,,,-969.1,0.00%,100.00%,,-828.29,85.50%,
,销售折让,家乐福-武汉武胜店,1,,-400.32,0.00%,,,-400.32,0.00%,100.00%,,-342.15,85.50%,
,销售折让,家乐福-武汉洪山店,1,,-644.73,0.00%,,,-644.73,0.00%,100.00%,,-551.05,85.50%,
,销售折让,家乐福-武汉建设大道店,1,,-314.71,0.00%,,,-314.71,0.00%,100.00%,,-268.98,85.50%,
,销售折让,家乐福-武汉光谷店,1,,-560.49,0.00%,,,-560.49,0.00%,100.00%,,-479.05,85.50%,
,销售折让,家乐福-武汉钟家村店,1,,-525.54,0.00%,,,-525.54,0.00%,100.00%,,-449.18,85.50%,
,销售折让,家乐福-武汉二七店,1,,-494.95,0.00%,,,-494.95,0.00%,100.00%,,-423.03,85.50%,
,销售折让,家乐福-武汉后湖店,1,,"-1,483.30",0.00%,,,"-1,483.30",0.00%,100.00%,,"-1,267.78",85.50%,
,销售折让,家乐福-武汉南湖武昌府店,1,,-951.86,0.00%,,,-951.86,0.00%,100.00%,,-813.56,85.50%,
,销售折让,家乐福-襄阳中原路店,1,,-927.43,0.00%,,,-927.43,0.00%,100.00%,,-792.68,85.50%,
,销售折让,家乐福-郑州北环店,2,,-299.68,0.00%,,,-299.68,0.00%,100.00%,,-256.14,85.50%,
,销售折让,家乐福-郑州花园店,2,,-538.16,0.00%,,,-538.16,0.00%,100.00%,,-459.97,85.50%,
,销售折让,家乐福-郑州金水店,1,,-409.25,0.00%,,,-409.25,0.00%,100.00%,,-349.79,85.50%,
,销售折让,家乐福-重庆金观音店,2,,-628.48,0.00%,,,-628.48,0.00%,100.00%,,-537.16,85.50%,
,销售折让,家乐福-重庆棉花街店,2,,-708.62,0.00%,,,-708.62,0.00%,100.00%,,-605.66,85.50%,
,销售折让,家乐福-重庆杨家坪店,1,,-514.81,0.00%,,,-514.81,0.00%,100.00%,,-440.01,85.50%,
,销售折让,家乐福-重庆沙坪坝店,2,,-218.1,0.00%,,,-218.1,0.00%,100.00%,,-186.41,85.50%,
,销售折让,家乐福-重庆袁家岗店,1,,-69.15,0.00%,,,-69.15,0.00%,100.00%,,-59.1,85.50%,
,销售折让,家乐福-重庆南坪上海城店,1,,-198.08,0.00%,,,-198.08,0.00%,100.00%,,-169.3,85.50%,
,销售折让,家乐福-重庆二郎店,2,,"-1,373.32",0.00%,,,"-1,373.32",0.00%,100.00%,,"-1,173.78",85.50%,
,销售折让,家乐福-合肥长江店,1,,-333.56,0.00%,,,-333.56,0.00%,100.00%,,-285.09,85.50%,
,销售折让,家乐福-合肥环球广场店,1,,-420.79,0.00%,,,-420.79,0.00%,100.00%,,-359.65,85.50%,
,销售折让,家乐福-合肥汉嘉店,1,,-210.31,0.00%,,,-210.31,0.00%,100.00%,,-179.75,85.50%,
,销售折让,家乐福-合肥宝业店,1,,-524.22,0.00%,,,-524.22,0.00%,100.00%,,-448.05,85.50%,
,销售折让,家乐福-合肥淮南朝阳店,1,,-97.13,0.00%,,,-97.13,0.00%,100.00%,,-83.02,85.50%,
,销售折让,家乐福-合肥安庆华茂店,1,,-222.66,0.00%,,,-222.66,0.00%,100.00%,,-190.31,85.50%,
,销售折让,家乐福-合肥肥西店,1,,-173.66,0.00%,,,-173.66,0.00%,100.00%,,-148.43,85.50%,
,销售折让,家乐福-合肥宿州店,2,,-683.52,0.00%,,,-683.52,0.00%,100.00%,,-584.21,85.50%,
,销售折让,家乐福-合肥蚌埠华夏店,2,,-113.06,0.00%,,,-113.06,0.00%,100.00%,,-96.63,85.50%,
,销售折让,家乐福-合肥蚌埠万达店,1,,-461.86,0.00%,,,-461.86,0.00%,100.00%,,-394.75,85.50%,
,销售折让,家乐福-合肥马鞍山湖东店,2,,-268.95,0.00%,,,-268.95,0.00%,100.00%,,-229.87,85.50%,
,销售折让,家乐福-贵阳文昌店,2,,"-1,465.03",0.00%,,,"-1,465.03",0.00%,100.00%,,"-1,252.16",85.50%,
,销售折让,家乐福-北京马连道店,2,,"-3,211.99",0.00%,,,"-3,211.99",0.00%,100.00%,,"-2,745.29",85.50%,
,销售折让,家乐福-北京方圆店,1,,-563.07,0.00%,,,-563.07,0.00%,100.00%,,-481.26,85.50%,
,销售折让,家乐福-北京方庄店,1,,-350.46,0.00%,,,-350.46,0.00%,100.00%,,-299.54,85.50%,
,销售折让,家乐福-北京中关村店,1,,-415.84,0.00%,,,-415.84,0.00%,100.00%,,-355.42,85.50%,
,销售折让,家乐福-北京双井店,2,,"-2,688.62",0.00%,,,"-2,688.62",0.00%,100.00%,,"-2,297.97",85.50%,
,销售折让,家乐福-北京通州店,1,,-255.78,0.00%,,,-255.78,0.00%,100.00%,,-218.62,85.50%,
,销售折让,家乐福-北京天通苑店,1,,"-1,249.86",0.00%,,,"-1,249.86",0.00%,100.00%,,"-1,068.26",85.50%,
,销售折让,家乐福-北京望京店,1,,-770.63,0.00%,,,-770.63,0.00%,100.00%,,-658.66,85.50%,
,销售折让,家乐福-北京大钟寺店,1,,-400.89,0.00%,,,-400.89,0.00%,100.00%,,-342.64,85.50%,
,销售折让,家乐福-北京广渠门店,1,,-783.6,0.00%,,,-783.6,0.00%,100.00%,,-669.74,85.50%,
,销售折让,家乐福-北京鲁谷店,1,,-634.01,0.00%,,,-634.01,0.00%,100.00%,,-541.89,85.50%,
,销售折让,家乐福-北京慈云寺店,1,,-250,0.00%,,,-250,0.00%,100.00%,,-213.68,85.50%,
,销售折让,家乐福-北京姚家园,1,,-513.79,0.00%,,,-513.79,0.00%,100.00%,,-439.14,85.50%,
,销售折让,家乐福-北京马家堡,1,,-482.09,0.00%,,,-482.09,0.00%,100.00%,,-412.04,85.50%,
,销售折让,家乐福-北京定慧桥店,1,,-342.09,0.00%,,,-342.09,0.00%,100.00%,,-292.38,85.50%,
,销售折让,家乐福-北京良乡店,1,,-445.73,0.00%,,,-445.73,0.00%,100.00%,,-380.97,85.50%,
,销售折让,家乐福-大连黄河店,2,,"-1,336.89",0.00%,,,"-1,336.89",0.00%,100.00%,,"-1,142.64",85.50%,
,销售折让,家乐福-大连中山店,2,,"-1,169.70",0.00%,,,"-1,169.70",0.00%,100.00%,,-999.74,85.50%,
,销售折让,家乐福-大连北京街店,2,,-483.4,0.00%,,,-483.4,0.00%,100.00%,,-413.16,85.50%,
,销售折让,家乐福-大连华南店,2,,-587.74,0.00%,,,-587.74,0.00%,100.00%,,-502.34,85.50%,
,销售折让,家乐福-哈尔滨永平店,2,,-668.59,0.00%,,,-668.59,0.00%,100.00%,,-571.44,85.50%,
,销售折让,家乐福-哈尔滨会展中心店,1,,-490.27,0.00%,,,-490.27,0.00%,100.00%,,-419.03,85.50%,
,销售折让,家乐福-哈尔滨乐松店,2,,"-1,644.47",0.00%,,,"-1,644.47",0.00%,100.00%,,"-1,405.53",85.50%,
,销售折让,家乐福-哈尔滨新阳店,1,,-420.63,0.00%,,,-420.63,0.00%,100.00%,,-359.51,85.50%,
,销售折让,家乐福-哈尔滨大直街店,1,,-493.16,0.00%,,,-493.16,0.00%,100.00%,,-421.5,85.50%,
,销售折让,家乐福-哈尔滨平房店,2,,-465.36,0.00%,,,-465.36,0.00%,100.00%,,-397.74,85.50%,
,销售折让,家乐福-济南车站店,1,,-667.88,0.00%,,,-667.88,0.00%,100.00%,,-570.84,85.50%,
,销售折让,家乐福-青岛明达店,1,,-879.15,0.00%,,,-879.15,0.00%,100.00%,,-751.41,85.50%,
,销售折让,家乐福-沈阳北站店,1,,"-1,867.10",0.00%,,,"-1,867.10",0.00%,100.00%,,"-1,595.81",85.50%,
,销售折让,家乐福-沈阳金牛店,2,,"-3,083.49",0.00%,,,"-3,083.49",0.00%,100.00%,,"-2,635.46",85.50%,
,销售折让,家乐福-沈阳文化店,1,,"-2,160.51",0.00%,,,"-2,160.51",0.00%,100.00%,,"-1,846.59",85.50%,
,销售折让,家乐福-沈阳塔湾店,2,,"-1,284.49",0.00%,,,"-1,284.49",0.00%,100.00%,,"-1,097.85",85.50%,
,销售折让,家乐福-沈阳吉祥店,1,,-628.4,0.00%,,,-628.4,0.00%,100.00%,,-537.09,85.50%,
,销售折让,家乐福-沈阳青年店,1,,-805.34,0.00%,,,-805.34,0.00%,100.00%,,-688.32,85.50%,
,销售折让,家乐福-沈阳云峰店,2,,-736.97,0.00%,,,-736.97,0.00%,100.00%,,-629.89,85.50%,
,销售折让,家乐福-沈阳于洪广场店,2,,-225.39,0.00%,,,-225.39,0.00%,100.00%,,-192.64,85.50%,
,销售折让,家乐福-沈阳辽阳新运大街分公司,1,,-69.12,0.00%,,,-69.12,0.00%,100.00%,,-59.08,85.50%,
,销售折让,家乐福-沈阳龙之梦店,2,,-844.51,0.00%,,,-844.51,0.00%,100.00%,,-721.8,85.50%,
,销售折让,家乐福-沈阳启工店,1,,-496.5,0.00%,,,-496.5,0.00%,100.00%,,-424.36,85.50%,
,销售折让,家乐福-沈阳鲅鱼圈蝴蝶泉店,1,,-454.31,0.00%,,,-454.31,0.00%,100.00%,,-388.3,85.50%,
,销售折让,家乐福-天津南开店,1,,-733.76,0.00%,,,-733.76,0.00%,100.00%,,-627.15,85.50%,
,销售折让,家乐福-天津龙城店,1,,-320.3,0.00%,,,-320.3,0.00%,100.00%,,-273.76,85.50%,
,销售折让,家乐福-天津海光寺店,1,,"-1,730.46",0.00%,,,"-1,730.46",0.00%,100.00%,,"-1,479.03",85.50%,
,销售折让,家乐福-天津河北店,1,,-594.35,0.00%,,,-594.35,0.00%,100.00%,,-507.99,85.50%,
,销售折让,家乐福-天津河东店,1,,-312.8,0.00%,,,-312.8,0.00%,100.00%,,-267.35,85.50%,
,销售折让,家乐福-鞍山胜利路店,1,,-519.1,0.00%,,,-519.1,0.00%,100.00%,,-443.68,85.50%,
,销售折让,家乐福-廊坊新华路店,1,,"-1,080.15",0.00%,,,"-1,080.15",0.00%,100.00%,,-923.21,85.50%,
,销售折让,家乐福-石家庄留营店,1,,-289.77,0.00%,,,-289.77,0.00%,100.00%,,-247.67,85.50%,
,销售折让,家乐福-石家庄柏林店,1,,-357.34,0.00%,,,-357.34,0.00%,100.00%,,-305.42,85.50%,
,销售折让,家乐福-石家庄中华店,1,,-327.99,0.00%,,,-327.99,0.00%,100.00%,,-280.33,85.50%,
,销售折让,家乐福-石家庄谈固店,1,,-228.19,0.00%,,,-228.19,0.00%,100.00%,,-195.03,85.50%,
,销售折让,家乐福-石家庄中山路店,1,,-499.96,0.00%,,,-499.96,0.00%,100.00%,,-427.32,85.50%,
,销售折让,家乐福-石家庄涿州范阳路店,1,,-760.54,0.00%,,,-760.54,0.00%,100.00%,,-650.03,85.50%,
,销售折让,家乐福-石家庄秦皇大街店,1,,"-1,453.58",0.00%,,,"-1,453.58",0.00%,100.00%,,"-1,242.38",85.50%,
,销售折让,家乐福-山西悦家长风店,1,,-491.84,0.00%,,,-491.84,0.00%,100.00%,,-420.38,85.50%,
,销售折让,家乐福-呼和浩特大学西街店,1,,-128.04,0.00%,,,-128.04,0.00%,100.00%,,-109.44,85.50%,
,销售折让,家乐福-呼和浩特新华东街店,1,,-101.51,0.00%,,,-101.51,0.00%,100.00%,,-86.76,85.50%,
,销售折让,上海杨浦绿地商业管理有限公司,1,,-544.05,0.00%,,,-544.05,0.00%,100.00%,,-465,85.50%,
,销售折让,家乐福-北京四元桥店,2,,"-3,067.78",0.00%,,,"-3,067.78",0.00%,100.00%,,"-2,622.03",85.50%,
,销售折让,上海松江绿地商业管理有限公司,1,,-74.81,0.00%,,,-74.81,0.00%,100.00%,,-63.94,85.50%,
,销售折让,台州牧川,4,,"-4,195.60",0.00%,,,"-4,195.60",0.00%,100.00%,,"-3,585.98",85.50%,
,销售折让,北京蒂玛丽宝,6,,"-4,707.69",0.00%,,,"-4,707.69",0.00%,100.00%,,"-4,023.67",85.50%,
,销售折让,南京恒发,10,,"-4,827.70",0.00%,,,"-4,827.70",0.00%,100.00%,,"-4,126.24",85.50%,
,销售折让,上海绿地优鲜超市有限公司,9,,"-11,731.57",0.00%,,,"-11,731.57",-0.10%,100.00%,,"-10,026.98",85.50%,
,销售折让,上海又一城购物中心有限公司,2,,-207.79,0.00%,,,-207.79,0.00%,100.00%,,-177.6,85.50%,
,销售折让,湖南珏鑫,5,,"-2,084.29",0.00%,,,"-2,084.29",0.00%,100.00%,,"-1,781.44",85.50%,
,销售折让,海口德艺馨贸易有限公司,3,,"-1,599.42",0.00%,,,"-1,599.42",0.00%,100.00%,,"-1,367.03",85.50%,
,销售折让,久华世(成都）,3,,"-3,062.42",0.00%,,,"-3,062.42",0.00%,100.00%,,"-2,617.45",85.50%,
,销售折让,杭州鼎林,5,,"-10,296.45",0.00%,,,"-10,296.45",-0.10%,100.00%,,"-8,800.38",85.50%,
,销售折让,顺丰电子,1,,-362.4,0.00%,,,-362.4,0.00%,100.00%,,-309.74,85.50%,
,销售折让,香江百货,1,,"-2,164.50",0.00%,,,"-2,164.50",0.00%,100.00%,,"-1,850.00",85.50%,
,销售折让,家乐福-徐州复兴店,1,,-627.84,0.00%,,,-627.84,0.00%,100.00%,,-536.62,85.50%,
,销售折让,家乐福-海口鹏辉店,1,,"-2,038.72",0.00%,,,"-2,038.72",0.00%,100.00%,,"-1,742.50",85.50%,
,销售折让,家乐福-中山新悦店,1,,-375.1,0.00%,,,-375.1,0.00%,100.00%,,-320.6,85.50%,
,销售折让,家乐福-成都科华路店,1,,-566.41,0.00%,,,-566.41,0.00%,100.00%,,-484.11,85.50%,
,销售折让,曹剑羽,1,,-600,0.00%,,,-600,0.00%,100.00%,,-512.82,85.50%,
,销售折让,北京盛康悦通,3,,"-1,327.90",0.00%,,,"-1,327.90",0.00%,100.00%,,"-1,134.96",85.50%,
,销售折让,家乐福-沈阳哈尔滨路店,2,,-509.65,0.00%,,,-509.65,0.00%,100.00%,,-435.6,85.50%,
,销售折让,上海学枭,18,,"-13,304.22",0.00%,,,"-13,304.22",-0.10%,100.00%,,"-11,371.13",85.50%,
,销售折让,京东,3,,"-29,881.04",0.00%,,,"-29,881.04",-0.20%,100.00%,,"-25,539.35",85.50%,
